trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,12,-28.873029822461195,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,14,-7.2189344871743355,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,8,2.2373039097072773,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",30,0,-56.13265802435683,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",25,4,21.275066730894494,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,2,-29.948484979395396,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,2,-48.54490216584341,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,8,-10.943964952426423,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",30,6,21.605878218563458,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",30,12,-3.275927924514094,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
